Event	Name	p_x	p_y	p_z	Data Source
2000	pi+	0.876	0.548	0.279	run2.dat
2001	pi+	0.618	0.967	0.198	run8.dat
2002	pi+	0.551	0.387	0.299	run2.dat
2003	e+	0.232	0.423	0.951	run1.dat
2004	K-	0.995	0.086	0.212	run1.dat
2005	mu+	0.743	0.093	0.694	run6.dat
2006	mu+	0.058	0.835	0.434	run9.dat
2007	e+	0.872	0.731	0.554	run7.dat
2008	p+	0.877	0.998	0.613	run5.dat
2009	K-	0.997	0.704	0.605	run6.dat
2010	e+	0.614	0.594	0.154	run7.dat
2011	mu+	0.028	0.422	0.998	run7.dat
2012	K+	0.466	0.123	0.477	run8.dat
2013	p+	0.998	0.442	0.572	run2.dat
2014	e+	0.755	0.987	0.879	run8.dat
2015	p-	0.907	0.173	0.110	run3.dat
2016	e-	0.817	0.615	0.990	run2.dat
2017	p-	0.298	0.144	0.315	run7.dat
2018	e-	0.201	0.664	0.946	run9.dat
2019	e+	0.262	0.135	0.602	run9.dat
2020	K-	0.092	0.402	0.009	run7.dat
2021	p-	0.488	0.226	0.245	run8.dat
2022	p-	0.276	0.373	0.881	run8.dat
2023	pi-	0.306	0.100	0.457	run4.dat
2024	K+	0.557	0.033	0.562	run9.dat
2025	mu+	0.024	0.173	0.088	run6.dat
2026	K+	0.474	0.308	0.054	run4.dat
2027	e+	0.476	0.478	0.480	run7.dat
2028	K-	0.078	0.261	0.570	run2.dat
2029	pi+	0.577	0.678	0.724	run9.dat
2030	e+	0.957	0.955	0.946	run9.dat
2031	K-	0.826	0.100	0.053	run2.dat
2032	mu-	0.886	0.777	0.121	run4.dat
2033	K+	0.856	0.857	0.486	run4.dat
2034	K+	0.949	0.781	0.636	run5.dat
2035	e-	0.394	0.903	0.678	run3.dat
2036	mu+	0.244	0.584	0.486	run3.dat
2037	e-	0.215	0.899	0.219	run7.dat
2038	e-	0.350	0.705	0.130	run4.dat
2039	pi-	0.260	0.246	0.085	run4.dat
2040	K-	0.254	0.957	0.819	run5.dat
2041	K-	0.273	0.874	0.668	run3.dat
2042	mu-	0.953	0.211	0.105	run9.dat
2043	mu+	0.619	0.881	0.455	run7.dat
2044	pi-	0.380	0.693	0.728	run1.dat
2045	pi-	0.325	0.326	0.153	run1.dat
2046	e-	0.278	0.591	0.031	run6.dat
2047	e-	0.209	0.257	0.862	run4.dat
2048	mu+	0.151	0.166	0.778	run3.dat
2049	K-	0.339	0.495	0.308	run7.dat
2050	K+	0.475	0.040	0.533	run3.dat
2051	K-	0.724	0.031	0.239	run1.dat
2052	e-	0.160	0.849	0.489	run2.dat
2053	e-	0.687	0.647	0.203	run3.dat
2054	p-	0.111	0.267	0.891	run7.dat
2055	K-	0.350	0.556	0.665	run7.dat
2056	K+	0.773	0.021	0.072	run1.dat
2057	e-	0.912	0.808	0.294	run4.dat
2058	pi+	0.706	0.029	0.853	run7.dat
2059	mu-	0.649	0.961	0.278	run3.dat
2060	pi-	0.596	0.068	0.411	run3.dat
2061	p-	0.115	0.807	0.314	run6.dat
2062	p-	0.523	0.772	0.141	run7.dat
2063	mu+	0.998	0.820	0.835	run7.dat
2064	mu-	0.102	0.651	0.721	run9.dat
2065	pi+	0.021	0.741	0.560	run4.dat
2066	e-	0.433	0.877	0.589	run8.dat
2067	mu-	0.385	0.530	0.666	run2.dat
2068	pi-	0.002	0.580	0.284	run4.dat
2069	K+	0.206	0.485	0.628	run7.dat
2070	e-	0.899	0.856	0.904	run7.dat
2071	e+	0.695	0.017	0.519	run9.dat
2072	pi-	0.637	0.203	0.274	run7.dat
2073	pi-	0.769	0.833	0.319	run5.dat
2074	pi+	0.745	0.046	0.543	run6.dat
2075	K+	0.945	0.927	0.534	run5.dat
2076	e-	0.107	0.662	0.016	run5.dat
2077	pi-	0.240	0.974	0.543	run2.dat
2078	mu+	0.761	0.678	0.974	run5.dat
2079	p-	0.510	0.064	0.832	run7.dat
2080	K+	0.363	0.148	0.538	run5.dat
2081	mu-	0.867	0.784	0.982	run9.dat
2082	e-	0.664	0.380	0.473	run7.dat
2083	mu+	0.733	0.480	0.069	run5.dat
2084	p-	0.959	0.172	0.332	run2.dat
2085	K-	0.958	0.813	0.273	run5.dat
2086	mu+	0.965	0.664	0.177	run7.dat
2087	mu+	0.001	0.928	0.545	run1.dat
2088	e+	0.990	0.445	0.470	run7.dat
2089	p-	0.575	0.792	0.658	run9.dat
2090	p-	0.841	0.557	0.816	run2.dat
2091	e-	0.283	0.063	0.241	run6.dat
2092	p-	0.663	0.747	0.700	run6.dat
2093	mu+	0.723	0.372	0.547	run1.dat
2094	pi-	0.688	0.763	0.681	run8.dat
2095	e-	0.464	0.113	0.613	run2.dat
2096	K+	0.003	0.061	0.027	run3.dat
2097	K+	0.698	0.123	0.270	run4.dat
2098	mu+	0.943	0.359	0.783	run4.dat
2099	K+	0.977	0.850	0.573	run5.dat
2100	p+	0.054	0.438	0.904	run4.dat
2101	mu-	0.711	0.370	0.179	run7.dat
2102	e-	0.757	0.750	0.623	run4.dat
2103	pi-	0.312	0.818	0.524	run9.dat
2104	pi-	0.495	0.611	0.952	run7.dat
2105	e-	0.383	0.317	0.454	run3.dat
2106	p-	0.272	0.453	0.264	run7.dat
2107	mu-	0.856	0.199	0.591	run6.dat
2108	p-	0.785	0.489	0.911	run1.dat
2109	pi-	0.434	0.952	0.269	run9.dat
2110	pi-	0.000	0.587	0.446	run7.dat
2111	e-	0.112	0.899	0.835	run4.dat
2112	p+	0.261	0.194	0.301	run1.dat
2113	p-	0.226	0.553	0.996	run9.dat
2114	p+	0.393	0.704	0.491	run4.dat
2115	K-	0.164	0.621	0.373	run9.dat
2116	mu+	0.027	0.943	0.789	run8.dat
2117	K+	0.566	0.043	0.220	run1.dat
2118	K-	0.466	0.218	0.630	run1.dat
2119	K-	0.682	0.861	0.005	run4.dat
2120	e-	0.196	0.750	0.142	run8.dat
2121	pi-	0.673	0.856	0.965	run5.dat
2122	p+	0.923	0.734	0.943	run8.dat
2123	e+	0.375	0.804	0.261	run5.dat
2124	p+	0.995	0.367	0.842	run4.dat
2125	p-	0.033	0.929	0.851	run6.dat
2126	mu-	0.668	0.712	0.713	run7.dat
2127	K-	0.203	0.469	0.524	run3.dat
2128	mu+	0.738	0.240	0.503	run4.dat
2129	K+	0.196	0.294	0.090	run4.dat
2130	pi+	0.251	0.299	0.999	run4.dat
2131	mu+	0.208	0.094	0.799	run8.dat
2132	pi+	0.243	0.179	0.488	run3.dat
2133	pi+	0.976	0.858	0.083	run3.dat
2134	mu-	0.782	0.689	0.800	run8.dat
2135	mu+	0.777	0.566	0.856	run8.dat
2136	p+	0.449	0.926	0.939	run4.dat
2137	mu-	0.977	0.070	0.992	run1.dat
2138	pi+	0.243	0.634	0.349	run2.dat
2139	p+	0.583	0.018	0.479	run2.dat
2140	mu-	0.353	0.264	0.283	run8.dat
2141	pi+	0.277	0.322	0.508	run7.dat
2142	K-	0.858	0.405	0.654	run5.dat
2143	mu-	0.261	0.296	0.339	run7.dat
2144	e+	0.851	0.868	0.202	run2.dat
2145	e-	0.155	0.094	0.538	run9.dat
2146	e-	0.823	0.931	0.856	run8.dat
2147	p-	0.330	0.357	0.348	run7.dat
2148	p-	0.419	0.336	0.247	run4.dat
2149	e-	0.325	0.493	0.748	run9.dat
2150	p+	0.845	0.973	0.625	run1.dat
2151	e-	0.543	0.463	0.573	run8.dat
2152	p+	0.205	0.356	0.280	run9.dat
2153	e+	0.794	0.594	0.628	run4.dat
2154	pi+	0.462	0.487	0.473	run5.dat
2155	pi+	0.156	0.697	0.660	run6.dat
2156	K-	0.854	0.331	0.047	run1.dat
2157	pi-	0.071	0.922	0.920	run1.dat
2158	pi+	0.938	0.841	0.453	run8.dat
2159	mu-	0.703	0.832	0.417	run5.dat
2160	e-	0.799	0.588	0.667	run4.dat
2161	mu+	0.641	0.684	0.757	run8.dat
2162	mu+	0.718	0.911	0.495	run5.dat
2163	p-	0.153	0.334	0.458	run1.dat
2164	K-	0.924	0.526	0.824	run2.dat
2165	p+	0.082	0.092	0.186	run2.dat
2166	K+	0.357	0.578	0.313	run7.dat
2167	pi-	0.961	0.312	0.821	run8.dat
2168	e+	0.036	0.013	0.660	run8.dat
2169	p+	0.132	0.784	0.859	run2.dat
2170	pi+	0.815	0.894	0.775	run9.dat
2171	pi+	0.693	0.898	0.229	run1.dat
2172	K+	0.632	0.777	0.115	run2.dat
2173	pi-	0.527	0.081	0.658	run5.dat
2174	mu-	0.419	0.738	0.995	run9.dat
2175	pi+	0.920	0.630	0.931	run5.dat
2176	pi+	0.650	0.561	0.118	run2.dat
2177	pi-	0.573	0.086	0.781	run9.dat
2178	e-	0.168	0.047	0.683	run2.dat
2179	mu-	0.361	0.547	0.188	run9.dat
2180	p+	0.307	0.518	0.890	run9.dat
2181	p-	0.099	0.777	0.747	run1.dat
2182	p+	0.681	0.027	0.145	run3.dat
2183	K-	0.473	0.826	0.522	run9.dat
2184	e+	0.564	0.540	0.514	run4.dat
